,Synthesizable,Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,"Bulk Modulus, Voigt","Bulk Modulus, Reuss","Bulk Modulus, VRH","Shear Modulus, Voigt","Shear Modulus, Reuss","Shear Modulus, VRH",Elastic Anisotropy,Weighted Surface Energy,Surface Anisotropy,Shape Factor,Work Function,Piezoelectric Modulus,Total Dielectric Constant,Ionic Dielectric Constant,Static Dielectric Constant
76,FALSE,mp-1201331,Si2B2H37C12N5,Monoclinic,P2_1/c,14,232,0.125215335,-0.285897079,FALSE,2641.430889,0.827930495,3.2505,TRUE,FALSE,NM,0.086593,,,,,,,,,,,,,,,
77,TRUE,mp-989466,B2(CN2)3,Monoclinic,C2/c,15,44,0.670660027,0.13749904,FALSE,291.6020235,3.227534814,1.9255,FALSE,FALSE,NM,0.0011448,,,,,,,,,,,,,,,
78,FALSE,mp-1197013,B2AsH13C3Br3N,Monoclinic,P2_1/c,14,92,0.15476619,-0.319948961,FALSE,1430.364924,1.854674538,4.675,FALSE,FALSE,NM,0.1075605,,,,,,,,,,,,,,,
79,TRUE,mp-1079333,B2CN,Orthorhombic,Pmma,51,8,0.239814363,-0.524639773,FALSE,50.64936284,3.123714905,0,FALSE,TRUE,NM,2.98E-05,,,,,,,,,,,,,,,
80,TRUE,mp-989473,B2(CN2)3,Monoclinic,C2/c,15,22,3.169693024,2.636532037,FALSE,192.6346187,2.442851885,0,FALSE,TRUE,NM,0.0025677,,,,,,,,,,,,,,,
81,TRUE,mp-989459,B2(CN2)3,Monoclinic,C2/m,12,11,0.412069593,-0.121091394,FALSE,128.4652017,1.831538172,1.517,FALSE,FALSE,NM,0.0001883,,,,,,,,,,,,,,,
82,FALSE,mp-1194655,AlB2H18C4N,Monoclinic,C2/c,15,104,0.168006388,-0.179344171,FALSE,1067.115587,0.801677807,5.5447,FALSE,FALSE,NM,0.2152251,,,,,,,,,,,,,,,
83,TRUE,mp-989472,B2(CN2)3,Trigonal,R-3c,167,22,0.181809777,-0.35135121,FALSE,473.0863761,0.994697512,2.4836,TRUE,FALSE,NM,0.0004398,,,,,,,,,,,,,,,
84,FALSE,mp-1204048,B2H26C8N20Cl2O,Orthorhombic,Pbcn,60,236,0,-0.548814732,TRUE,2403.52849,1.412020955,4.1207,FALSE,FALSE,NM,0,,,,,,,,,,,,,,,
85,FALSE,mp-554977,B2H10C2NClO3,Triclinic,P-1,2,38,0.158122427,-0.917423236,FALSE,396.921241,1.281677624,4.0008,TRUE,FALSE,NM,0.0014226,,,,,,,,,,,,,,,
86,FALSE,mp-1199767,MgB2H42C26(N7O3)2,Triclinic,P-1,2,91,0.282999539,-0.273368115,FALSE,1170.958297,0.982218852,4.6877,FALSE,FALSE,NM,0.3197701,,,,,,,,,,,,,,,
87,TRUE,mp-989467,B2(CN2)3,Monoclinic,C2,5,11,2.771986867,2.23882588,FALSE,179.1344559,1.313476625,0.1452,FALSE,FALSE,NM,0.0007217,,,,,,,,,,,,,,,
